序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,113年1月至113年12月全年薪資所得（金額萬元）
299,2025,風險控管人員,K649000000,2255,70194,142.8
300,2025,財務及投資規劃分析人員,K649000000,2614,77523,190.1
301,2025,專案管理師(含經營管理顧問),K649000000,228,64537,100.9
302,2025,稽核人員,K649000000,3295,83345,153.7
303,2025,人力資源管理師,K649000000,1381,67183,144.3
304,2025,廣告及行銷專業人員(含企劃),K649000000,218,67113,119.7
305,2025,公關專業人員,K649000000,86,68757,115.1
306,2025,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),K649000000,4731,69373,129.1
307,2025,律師,K649000000,---,---,---
308,2025,其他專業人員,K649000000,-,-,-
309,2025,技術員及助理專業人員,K649000000,21031,64068,130.3
310,2025,證券金融交易員及經紀人(含理財專員、承銷人員),K649000000,10224,66454,133.5
311,2025,信用及貸款人員,K649000000,4795,55819,131.2
312,2025,會計人員,K649000000,2293,62017,108.1
313,2025,統計及精算助理專業人員,K649000000,---,---,---
314,2025,財物及損失鑑價人員,K649000000,-,-,-
315,2025,工商業銷售代表(含業務員),K649000000,---,---,---
316,2025,採購員,K649000000,---,---,---
317,2025,會議及活動規劃人員,K649000000,---,---,---
318,2025,不動產經紀人(含房屋仲介),K649000000,-,-,-
319,2025,專業秘書,K649000000,1525,71130,127.5
320,2025,法務人員,K649000000,728,64496,123.8
321,2025,資訊管理及維護技術員,K649000000,816,61407,123.6
322,2025,其他技術員及助理專業人員,K649000000,-,-,-
323,2025,事務支援人員,K649000000,7078,52653,109.3
324,2025,總務,K649000000,638,53337,116.8
325,2025,辦公室綜合事務人員(含資料登錄、一般事務秘書),K649000000,3580,49507,99.3
326,2025,銀行、郵局櫃台事務人員,K649000000,-,-,-
327,2025,收帳、收費人員(含帳款催收),K649000000,-,-,-
328,2025,接待員及服務台事務人員(含總機),K649000000,---,---,---
329,2025,電話及網路客服人員,K649000000,-,-,-
330,2025,醫院(診所)櫃台事務人員,K649000000,-,-,-
331,2025,會計助理、簿記、出納,K649000000,1138,52836,127.3
332,2025,統計、財務、證券及保險事務人員,K649000000,962,62348,122.1
333,2025,人事事務人員,K649000000,675,57468,102.7
334,2025,郵件處理及投遞人員,K649000000,-,-,-
335,2025,其他事務支援人員,K649000000,-,-,-
336,2025,服務及銷售工作人員,K649000000,---,---,---
337,2025,廚師(含廚房領班),K649000000,-,-,-
338,2025,按摩師,K649000000,-,-,-
339,2025,建築物管理員、保全及警衛人員,K649000000,---,---,---
340,2025,技藝、機械設備操作及組裝人員,K649000000,---,---,---
341,2025,小客、貨車駕駛人員,K649000000,---,---,---
342,2025,基層技術工及勞力工,K649000000,-,-,-
343,2025,清潔及家事工作人員(含建築清潔工、房務人員),K649000000,-,-,-
344,2025,勞力工(含理貨員、行李搬運工),K649000000,-,-,-
345,2025,抄表員及自動販賣機收款員,K649000000,-,-,-
346,2025,停車場管理工,K649000000,-,-,-
347,2025,主管及監督人員,K651000000,8028,121247,229.5
348,2025,高階主管(總經理及總執行長),K651000000,407,321401,758.4
349,2025,中階主管(經理),K651000000,1909,141302,262.9
350,2025,監督人員(含現場及辦公室主任、科/股長),K651000000,5712,100283,181.6
351,2025,專業人員,K651000000,7630,72761,125.5
352,2025,精算師(取得正式資格者),K651000000,---,---,---
353,2025,統計及精算專業人員,K651000000,1078,83036,138.6
354,2025,土木及水利工程師,K651000000,-,-,-
355,2025,建築工程師(含建築師),K651000000,-,-,-
356,2025,平面及多媒體設計師,K651000000,-,-,-
357,2025,醫師,K651000000,---,---,---
358,2025,護理人員,K651000000,---,---,---
359,2025,獸醫師,K651000000,-,-,-
360,2025,勞安及衛生管理人員(含工業安全管理師),K651000000,---,---,---
361,2025,會(審)計師,K651000000,103,72566,131.4
362,2025,風險控管人員,K651000000,319,68527,125.9
